Funding Cycle,County Name,Visit Type,Item,Variable,Variable Detail,Frequency Count,Percent of Total Frequency,Date Closed,Location
2014-2019,Cayuga,Revisits,Housing condition,"Walls, ceilings, stairs in good repair",Unknown,57,34.3,10/27/2017,"(42.940095, -76.560755)"
2009-2014,Erie,Revisits,Housing condition,Smoking allowed in home,Not applicable,717,,10/27/2017,"(42.888143, -78.795544)"
2014-2019,NYC-Bronx,Initial visits,Housing condition,Plumbing leaks,Yes,68,31.2,10/27/2017,"(40.85589, -73.868294)"
2006-2009,Orange,Revisits,Housing condition,Significant dust accumulation,Yes,9,3.8,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Tompkins,Revisits,Housing condition,Effective housecleaning,Yes,342,69.5,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Rensselaer,Initial visits,Housing condition,"Mold or mildew, observed or smell",No,1155,84.6,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Rensselaer,Revisits,Housing condition,Significant dust accumulation,Yes,128,50.8,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Rensselaer,Revisits,Housing condition,Electrical hazards,Improved,3,1.2,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Niagara,Revisits,Housing condition,Working carbon monoxide detector,No,401,63.8,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Erie,Revisits,Housing condition,Working carbon monoxide detector,Yes,1102,98,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Cayuga,Revisits,Housing condition,Humidifier or vaporizer used,Unknown,56,33.7,10/27/2017,"(42.940095, -76.560755)"
2014-2019,Tioga,Initial visits,Housing condition,Every room has ventilation,Yes,756,87.8,10/27/2017,"(42.120252, -76.29595)"
2009-2014,Rockland,Revisits,Housing condition,Smoke detectors audible from sleeping spaces,Yes,189,75.6,10/27/2017,"(41.127287, -74.017033)"
2009-2014,All counties,Initial visits,Housing condition,Plumbing leaks,Unknown,229,0.9,10/27/2017,
2014-2019,Clinton,Initial visits,Housing condition,Functional fire extinguisher,Yes,267,16.5,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Westchester,Initial visits,Housing condition,Smoking allowed in home,Not applicable,2002,,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Cortland,Revisits,Housing condition,Smell of scented products,Unknown,2,0.9,10/27/2017,"(42.597101, -76.143291)"
2006-2009,Clinton,Revisits,Housing condition,Working carbon monoxide detector,Unknown,2,1,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Westchester,Revisits,Housing condition,"Mold or mildew, observed or smell",Unknown,18,7.6,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Niagara,Revisits,Housing condition,Deteriorated paint inside,No,1179,87.5,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Westchester,Initial visits,Housing condition,Smell of scented products,No,2003,97.9,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Rockland,Initial visits,Housing condition,Functional smoke detectors in common areas,No,1127,88,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Monroe,Revisits,Housing condition,Smoking allowed in home,Improved,8,3.4,10/27/2017,"(43.161748, -77.620143)"
2009-2014,All counties,Initial visits,Respondent demographics,Hispanic ethnicity,Unknown,655,2.7,10/27/2017,
2014-2019,Niagara,Revisits,Housing condition,Significant clutter,Yes,49,6.4,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Orange,Revisits,Housing condition,Deteriorated paint outside,Unknown,9,2.4,10/27/2017,"(41.422459, -74.241929)"
2006-2009,Onondaga,Revisits,Housing condition,Improperly stored garbage near building,Improved,3,1,10/27/2017,"(43.065629, -76.168033)"
2009-2014,Niagara,Initial visits,Respondent demographics,Hispanic ethnicity,Yes,94,2.7,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Niagara,Initial visits,Respondent demographics,Race: Native American,Native American,46,1.9,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Tompkins,Initial visits,Housing condition,Functional smoke detectors in common areas,Unknown,1555,95.9,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Schenectady,Initial visits,Housing information,Owner occupied,Yes,201,98,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Oneida,Initial visits,Housing condition,Smoker in home,No,348,45.7,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Onondaga,Initial visits,Housing condition,"Rats, evidence or reported",Yes,56,1.9,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Oneida,Revisits,Housing condition,Significant dust accumulation,Yes,3,1.5,10/27/2017,"(43.149482, -75.361773)"
2009-2014,Niagara,Initial visits,Housing information,Owner occupied,Unknown,9,0.4,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Erie,Initial visits,Housing information,Units in building,5 units,16,0.4,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Rensselaer,Initial visits,Housing condition,Smoking allowed in home,Not applicable,343,,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Cortland,Revisits,Housing condition,Working carbon monoxide detector,No,15,6.5,10/27/2017,"(42.597101, -76.143291)"
2006-2009,Rensselaer,Revisits,Housing condition,"Walls, ceilings, stairs in good repair",No,3,2,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Tompkins,Revisits,Housing condition,Smoking limited to certain rooms,Unknown,21,26.9,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Columbia,Initial visits,Housing condition,Functional smoke detector on every floor,Yes,268,68.7,10/27/2017,"(42.276913, -73.682168)"
2009-2014,Niagara,Revisits,Housing condition,Functional smoke detector on every floor,Yes,741,50.5,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Cortland,Revisits,Housing condition,Every room has ventilation,No,9,3.9,10/27/2017,"(42.597101, -76.143291)"
2014-2019,Clinton,Revisits,Housing condition,Electrical hazards,Unknown,2,0.4,10/27/2017,"(44.731944, -73.548883)"
2014-2019,All counties,Initial visits,Housing condition,Wall-to-wall carpeting or large rugs,Unknown,180,0.7,10/27/2017,
2014-2019,Schenectady,Initial visits,Housing condition,Deteriorated paint outside,No,671,61.4,10/27/2017,"(42.809233, -73.946838)"
2014-2019,NYC-Bronx,Initial visits,Housing condition,"Cockroaches, evidence or reported",Unknown,3,1.4,10/27/2017,"(40.85589, -73.868294)"
2009-2014,Albany,Initial visits,Housing information,Renter/owner,Own,6,26.1,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Schenectady,Revisits,Housing condition,"Cockroaches, evidence or reported",No,277,88.5,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Westchester,Initial visits,Housing condition,Working carbon monoxide detector,Unknown,34,2.3,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Albany,Initial visits,Housing condition,Deteriorated paint inside,No,306,73.2,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Cayuga,Revisits,Housing condition,Smoking allowed in home,Unknown,4,10.3,10/27/2017,"(42.940095, -76.560755)"
2009-2014,Monroe,Initial visits,Housing condition,Smoking allowed in home,Not applicable,1429,,10/27/2017,"(43.161748, -77.620143)"
2006-2009,Albany,Initial visits,Housing information,Renter/owner,,3,0.4,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Niagara,Initial visits,Housing condition,"Cockroaches, evidence or reported",Unknown,10,0.8,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Rensselaer,Revisits,Housing condition,Smoking limited to certain rooms,No,22,50,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Monroe,Revisits,Housing condition,Significant dust accumulation,Unknown,1,0.4,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Columbia,Initial visits,Housing condition,Significant clutter,No,276,70.8,10/27/2017,"(42.276913, -73.682168)"
2014-2019,Westchester,Revisits,Housing condition,Deteriorated paint outside,No,15,75,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Onondaga,Revisits,Housing condition,Food/harborage for cockroaches,Unknown,3,0.4,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Columbia,Initial visits,Housing condition,Functional fire extinguisher,No,276,70.8,10/27/2017,"(42.276913, -73.682168)"
2009-2014,Niagara,Initial visits,Housing information,Age of building,1950-1978,627,18.3,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Niagara,Revisits,Housing condition,"Walls, ceilings, stairs in good repair",Unknown,46,3.1,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Tompkins,Revisits,Housing condition,"Mold or mildew, observed or smell",Unknown,11,2.2,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Columbia,Revisits,Housing condition,"Rats, evidence or reported",Unknown,1,1.4,10/27/2017,"(42.276913, -73.682168)"
2006-2009,Oneida,Revisits,Housing condition,Plumbing leaks,Improved,16,7.5,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Erie,Revisits,Housing condition,Food/harborage for cockroaches,Unknown,2,0.2,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Albany,Revisits,Housing condition,"Walls, ceilings, stairs in good repair",No,13,5.6,10/27/2017,"(42.678066, -73.814233)"
2014-2019,NYC-Bronx,Initial visits,Housing condition,Improperly stored garbage inside,Unknown,1,0.5,10/27/2017,"(40.85589, -73.868294)"
2014-2019,NYC-Manhattan,Revisits,Housing condition,Food/harborage for cockroaches,Yes,3,18.8,10/27/2017,"(40.726966, -74.005966)"
2006-2009,All counties,Initial visits,Housing information,Owner occupied,Yes,4624,95.6,10/27/2017,
2009-2014,Schenectady,Revisits,Housing condition,Smoking allowed in home,Yes,31,39.7,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Schenectady,Revisits,Housing condition,Functional smoke detector on every floor,Improved,13,4.2,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Erie,Initial visits,Housing condition,Exits function properly,Yes,3957,98.9,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Clinton,Initial visits,Housing condition,Working carbon monoxide detector,Yes,525,32.4,10/27/2017,"(44.731944, -73.548883)"
2006-2009,Niagara,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,Unknown,273,11.2,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Erie,Initial visits,Housing condition,Food/harborage for cockroaches,No,4149,97.8,10/27/2017,"(42.888143, -78.795544)"
2009-2014,Niagara,Revisits,Housing condition,Functional fire extinguisher,Yes,221,15.1,10/27/2017,"(43.134634, -78.856419)"
2009-2014,All counties,Revisits,Housing condition,Residents practice exit drills,Unknown,172,2.8,10/27/2017,
2009-2014,Niagara,Initial visits,Housing information,Owner occupied,No,11,0.5,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Tompkins,Initial visits,Housing condition,Electrical hazards,No,1462,90.1,10/27/2017,"(42.461024, -76.478784)"
2006-2009,Orange,Initial visits,Housing condition,Improperly stored flammables,Yes,8,0.9,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Clinton,Revisits,Housing condition,"Mice, evidence or reported",Improved,2,0.4,10/27/2017,"(44.731944, -73.548883)"
2006-2009,Clinton,Revisits,Housing condition,Smoker in home,Unknown,1,0.5,10/27/2017,"(44.731944, -73.548883)"
2006-2009,Orange,Initial visits,Housing condition,Chemical smell indoors,Unknown,15,1.6,10/27/2017,"(41.422459, -74.241929)"
2006-2009,Clinton,Initial visits,Respondent demographics,Receives public assistance,Yes,651,73.1,10/27/2017,"(44.731944, -73.548883)"
2006-2009,All counties,Revisits,Housing condition,Significant clutter,Yes,314,9.5,10/27/2017,
2014-2019,Rockland,Revisits,Housing condition,Electrical hazards,Yes,3,3.1,10/27/2017,"(41.127287, -74.017033)"
2006-2009,Clinton,Initial visits,Housing information,Age of building,Pre-1950,103,11.6,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Tompkins,Revisits,Housing condition,"Mold or mildew, observed or smell",Improved,78,15.9,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Clinton,Revisits,Housing condition,Functional fire extinguisher,Unknown,1,0.2,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Broome,Initial visits,Respondent demographics,Race: Native American,Native American,8,0.8,10/27/2017,"(42.122015, -75.933191)"
2014-2019,Niagara,Revisits,Housing condition,Every room has ventilation,No,13,1.7,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Onondaga,Revisits,Housing condition,Improperly stored flammables,No,787,97.9,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Oneida,Initial visits,Housing condition,Improperly stored garbage near building,Yes,70,9.2,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Monroe,Revisits,Housing condition,Deteriorated paint outside,Unknown,14,4.2,10/27/2017,"(43.161748, -77.620143)"
2014-2019,NYC-Bronx,Initial visits,Housing condition,Smoking allowed in home,Unknown,1,1.9,10/27/2017,"(40.85589, -73.868294)"
2014-2019,Monroe,Revisits,Housing condition,Exits function properly,Yes,359,98.6,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Cortland,Initial visits,Housing condition,Functional fire extinguisher,Unknown,4,0.4,10/27/2017,"(42.597101, -76.143291)"
2009-2014,Niagara,Revisits,Housing condition,Deteriorated paint inside,Yes,100,7.4,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Albany,Revisits,Housing condition,Significant clutter,Improved,2,0.9,10/27/2017,"(42.678066, -73.814233)"
2014-2019,NYC-Kings,Initial visits,Housing condition,Functional smoke detectors in common areas,No,26,24.3,10/27/2017,"(40.65642, -73.950691)"
2014-2019,Schenectady,Initial visits,Respondent demographics,Race: Unknown,Unknown,3,0.2,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Niagara,Revisits,Housing condition,Improperly stored garbage near building,Yes,31,4.1,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Albany,Revisits,Housing condition,Working carbon monoxide detector,Yes,190,94.5,10/27/2017,"(42.678066, -73.814233)"
2009-2014,Orange,Revisits,Housing condition,Smoke detectors audible from sleeping spaces,Unknown,3,0.7,10/27/2017,"(41.422459, -74.241929)"
2014-2019,NYC-Queens,Revisits,Housing condition,Effective housecleaning,Yes,3,75,10/27/2017,"(40.749338, -73.789673)"
2006-2009,All counties,Revisits,Housing condition,Working carbon monoxide detector,Unknown,67,2,10/27/2017,
2006-2009,Rensselaer,Initial visits,Housing information,Owner occupied,Unknown,4,1.5,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Monroe,Revisits,Housing condition,Improperly stored garbage near building,Yes,6,2.6,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Schenectady,Initial visits,Housing information,Owner occupied,Yes,103,94.5,10/27/2017,"(42.809233, -73.946838)"
2009-2014,Orange,Initial visits,Housing condition,Smoking allowed in home,Not applicable,1903,,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Albany,Initial visits,Housing information,Renter/owner,"Rent, public",546,42.3,10/27/2017,"(42.678066, -73.814233)"
2006-2009,All counties,Revisits,Housing condition,Functional smoke detector on every floor,Yes,3000,90.5,10/27/2017,
2014-2019,Monroe,Revisits,Housing condition,Deteriorated paint inside,Yes,52,15.6,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Broome,Revisits,Housing condition,"Mold or mildew, observed or smell",Unknown,207,93.7,10/27/2017,"(42.122015, -75.933191)"
2014-2019,Schenectady,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,No,429,32.8,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Niagara,Revisits,Housing condition,Improperly stored garbage near building,Improved,2,0.3,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Erie,Revisits,Housing condition,"Mold or mildew, observed or smell",No,736,95.2,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Westchester,Initial visits,Housing condition,Every room has ventilation,Yes,1404,96,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Albany,Initial visits,Housing condition,Roofing or structural leaks,No,574,81.8,10/27/2017,"(42.678066, -73.814233)"
2014-2019,All counties,Revisits,Housing condition,Deteriorated paint inside,No,3575,81.6,10/27/2017,
2014-2019,Westchester,Initial visits,Housing information,Rental assistance,No/Unknown,109,61.6,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Tioga,Initial visits,Housing information,Units in building,4 units,24,2.8,10/27/2017,"(42.120252, -76.29595)"
2014-2019,Rensselaer,Revisits,Housing condition,"Cockroaches, evidence or reported",Yes,3,1.2,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Westchester,Initial visits,Housing condition,Electrical hazards,Unknown,60,32.4,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Monroe,Initial visits,Housing condition,Smell of scented products,Yes,314,12,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Orange,Initial visits,Housing condition,Improperly stored garbage inside,Yes,123,4.6,10/27/2017,"(41.422459, -74.241929)"
2014-2019,All counties,Revisits,Housing condition,Functional fire extinguisher,Improved,749,12.1,10/27/2017,
2014-2019,Oneida,Revisits,Housing condition,"Mold or mildew, observed or smell",No,191,92.7,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Clinton,Revisits,Housing condition,Furnace filter dirty or missing,Unknown,5,1.1,10/27/2017,"(44.731944, -73.548883)"
2006-2009,Schenectady,Initial visits,Housing information,Age of building,Pre-1950,175,29.7,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Orange,Revisits,Housing condition,Residents practice exit drills,Unknown,7,1.3,10/27/2017,"(41.422459, -74.241929)"
2014-2019,All counties,Revisits,Housing condition,Functional smoke detectors in common areas,Unknown,2858,46.3,10/27/2017,
2006-2009,Rockland,Initial visits,Housing condition,Roofing or structural leaks,Yes,77,8.9,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Rensselaer,Initial visits,Housing information,Renter/owner,"Rent, private",592,43.4,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Albany,Initial visits,Housing condition,Humidifier or vaporizer used,No,612,87.2,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Columbia,Initial visits,Housing condition,Residents practice exit drills,Yes,85,21.8,10/27/2017,"(42.276913, -73.682168)"
2006-2009,Clinton,Initial visits,Housing condition,"Mold or mildew, observed or smell",Yes,114,12.8,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Clinton,Revisits,Housing condition,Smoking limited to certain rooms,Not applicable,391,,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Albany,Initial visits,Housing condition,Smoking allowed in home,Unknown,36,10.1,10/27/2017,"(42.678066, -73.814233)"
2006-2009,Oneida,Initial visits,Housing condition,Roofing or structural leaks,Yes,100,13.1,10/27/2017,"(43.149482, -75.361773)"
2006-2009,All counties,Initial visits,Housing condition,Exits function properly,Yes,13839,96.4,10/27/2017,
2006-2009,Niagara,Revisits,Housing condition,Significant dust accumulation,Unknown,31,4.9,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Tioga,Initial visits,Housing information,Age of building,Post-1978,361,41.9,10/27/2017,"(42.120252, -76.29595)"
2009-2014,All counties,Initial visits,Respondent demographics,Race: Other not specified,Other not specified,1914,7.9,10/27/2017,
2009-2014,Schenectady,Initial visits,Housing condition,Smoker in home,Yes,367,44.3,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Clinton,Initial visits,Housing information,Units in building,3 units,16,1.8,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Broome,Initial visits,Housing condition,Functional fire extinguisher,No,1,100,10/27/2017,"(42.122015, -75.933191)"
2014-2019,Albany,Initial visits,Housing information,Rental assistance,No/Unknown,696,61.2,10/27/2017,"(42.678066, -73.814233)"
2009-2014,Erie,Revisits,Housing condition,Functional fire extinguisher,Yes,402,35.7,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Schenectady,Initial visits,Housing information,Renter/owner,,6,0.5,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Erie,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,Unknown,16,0.4,10/27/2017,"(42.888143, -78.795544)"
2006-2009,All counties,Initial visits,Housing condition,Chemical smell indoors,No,13418,93.5,10/27/2017,
2006-2009,Orange,Revisits,Housing condition,Electrical hazards,Unknown,42,17.9,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Orange,Revisits,Housing condition,Food/harborage for cockroaches,Yes,24,4.5,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Erie,Initial visits,Housing condition,Improperly stored flammables,No,4215,99.4,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Oneida,Initial visits,Housing condition,"Mold or mildew, observed or smell",Unknown,9,1.2,10/27/2017,"(43.149482, -75.361773)"
2006-2009,Rockland,Revisits,Housing condition,Smoking allowed in home,No,2,50,10/27/2017,"(41.127287, -74.017033)"
2006-2009,Rensselaer,Initial visits,Housing condition,Chemical smell indoors,Yes,3,0.6,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Westchester,Initial visits,Respondent demographics,Hispanic ethnicity,Yes,123,66.5,10/27/2017,"(41.039278, -73.805386)"
2009-2014,All counties,Revisits,Housing condition,Working carbon monoxide detector,Improved,1010,16.3,10/27/2017,
2006-2009,Rensselaer,Revisits,Housing condition,Deteriorated paint outside,Not applicable,62,,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Rensselaer,Revisits,Housing condition,Effective housecleaning,Yes,136,90.1,10/27/2017,"(42.70098, -73.628669)"
2009-2014,Tompkins,Revisits,Housing condition,Plumbing leaks,Yes,8,1.6,10/27/2017,"(42.461024, -76.478784)"
2009-2014,All counties,Initial visits,Housing condition,Deteriorated paint inside,Unknown,303,1.6,10/27/2017,
2009-2014,Onondaga,Initial visits,Housing condition,"Rats, evidence or reported",Unknown,6,0.2,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Schenectady,Initial visits,Housing information,Units in building,>5 units,279,21.3,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Westchester,Initial visits,Housing condition,"Cockroaches, evidence or reported",Unknown,1,0.5,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Rockland,Initial visits,Housing condition,Smoking limited to certain rooms,Not applicable,1656,,10/27/2017,"(41.127287, -74.017033)"
2006-2009,Oneida,Initial visits,Housing condition,Humidifier or vaporizer used,Unknown,16,2.1,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Schenectady,Revisits,Housing condition,Plumbing leaks,Improved,4,1.3,10/27/2017,"(42.809233, -73.946838)"
2009-2014,Erie,Revisits,Housing condition,Residents practice exit drills,No,262,23.3,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Westchester,Initial visits,Housing condition,Deteriorated paint inside,Not applicable,566,,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Orange,Initial visits,Housing condition,Improperly stored garbage near building,Unknown,17,1.8,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Monroe,Initial visits,Housing condition,Smoking limited to certain rooms,Unknown,4,0.6,10/27/2017,"(43.161748, -77.620143)"
2009-2014,All counties,Initial visits,Housing information,Units in building,4 units,842,3.5,10/27/2017,
2006-2009,Schenectady,Revisits,Housing condition,Plumbing leaks,No,177,93.2,10/27/2017,"(42.809233, -73.946838)"
2009-2014,Rockland,Initial visits,Respondent demographics,Hispanic ethnicity,No,1559,86.2,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Rensselaer,Revisits,Housing condition,Chemical smell indoors,Improved,3,1.2,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Tompkins,Revisits,Housing condition,Smoking limited to certain rooms,Improved,8,10.3,10/27/2017,"(42.461024, -76.478784)"
2006-2009,Oneida,Initial visits,Housing condition,"Mold or mildew, observed or smell",Yes,90,11.8,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Tompkins,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,Unknown,32,2.2,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Tioga,Initial visits,Housing condition,Smoking allowed in home,No,93,47.9,10/27/2017,"(42.120252, -76.29595)"
2009-2014,Niagara,Revisits,Housing condition,Furnace filter dirty or missing,Unknown,147,10,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Westchester,Revisits,Housing condition,"Mice, evidence or reported",Yes,22,20.4,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Rockland,Initial visits,Respondent demographics,High school diploma or equivalent,No,137,15.9,10/27/2017,"(41.127287, -74.017033)"
2006-2009,Clinton,Revisits,Housing condition,Improperly stored flammables,No,194,97,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Westchester,Initial visits,Housing condition,Electrical hazards,Unknown,21,1,10/27/2017,"(41.039278, -73.805386)"
2014-2019,All counties,Revisits,Housing condition,Chemical smell indoors,Yes,70,1.1,10/27/2017,
2006-2009,Monroe,Revisits,Housing condition,Improperly stored flammables,Yes,1,0.4,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Orange,Revisits,Housing condition,Smoke detectors audible from sleeping spaces,Yes,499,93.8,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Tompkins,Revisits,Housing condition,Smoke detectors audible from sleeping spaces,No,4,1,10/27/2017,"(42.461024, -76.478784)"
2006-2009,Westchester,Initial visits,Housing condition,Improperly stored flammables,Yes,12,0.8,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Rockland,Initial visits,Housing condition,"Rats, evidence or reported",No,842,97.5,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Cortland,Initial visits,Housing condition,Roofing or structural leaks,Unknown,8,0.9,10/27/2017,"(42.597101, -76.143291)"
2014-2019,Albany,Revisits,Housing condition,Significant dust accumulation,No,98,42.1,10/27/2017,"(42.678066, -73.814233)"
2006-2009,Niagara,Initial visits,Housing condition,Smoking allowed in home,Unknown,19,1.6,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Cortland,Initial visits,Housing condition,Deteriorated paint outside,No,548,89.8,10/27/2017,"(42.597101, -76.143291)"
2006-2009,Rockland,Revisits,Housing condition,Furnace filter dirty or missing,Yes,1,1.3,10/27/2017,"(41.127287, -74.017033)"
2006-2009,Erie,Revisits,Housing condition,Smoker in home,Unknown,2,0.3,10/27/2017,"(42.888143, -78.795544)"
2006-2009,All counties,Revisits,Housing condition,"Cockroaches, evidence or reported",Improved,65,2,10/27/2017,
2014-2019,Orange,Revisits,Housing condition,Functional smoke detectors in common areas,Yes,394,74.1,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Niagara,Initial visits,Housing condition,Smoker in home,No,2010,58.6,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Clinton,Revisits,Housing condition,Functional smoke detector on every floor,No,7,1.3,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Rensselaer,Initial visits,Housing condition,"Walls, ceilings, stairs in good repair",No,182,13.3,10/27/2017,"(42.70098, -73.628669)"
2009-2014,Onondaga,Initial visits,Housing condition,Deteriorated paint inside,Not applicable,498,,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Rensselaer,Initial visits,Housing condition,Working carbon monoxide detector,Yes,240,45,10/27/2017,"(42.70098, -73.628669)"
2009-2014,Oneida,Initial visits,Housing condition,Deteriorated paint inside,Not applicable,4,,10/27/2017,"(43.149482, -75.361773)"
2009-2014,Onondaga,Initial visits,Housing information,Units in building,Unknown,10,0.4,10/27/2017,"(43.065629, -76.168033)"
2009-2014,Erie,Initial visits,Housing condition,Working carbon monoxide detector,Unknown,7,0.2,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Erie,Initial visits,Respondent demographics,Receives public assistance,Unknown,82,2.1,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Columbia,Revisits,Housing condition,Every room has ventilation,No,10,14.5,10/27/2017,"(42.276913, -73.682168)"
2006-2009,Monroe,Revisits,Housing condition,Functional fire extinguisher,Yes,73,31.6,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Schenectady,Revisits,Housing condition,"Mold or mildew, observed or smell",Unknown,5,2.6,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Monroe,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,Yes,904,90.8,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Erie,Revisits,Housing condition,Smoking allowed in home,No,80,19.6,10/27/2017,"(42.888143, -78.795544)"
